,name,post,profile,sentiment
10,Volkswagen Financial Services Spain,"🙋‍♀️ ¿Un partner de movilidad? ¿Gestión de flotas? ¿Lo último en innovación? Si es lo que estás buscando, descubre VWFS Fleet. 🙋‍♂️",https://www.linkedin.com/company/volkswagen-financial-services-spain/,0.0
11,Samaneh Dehghanpour,"How to get ahead of 90% of UX portfolios (Summary)👇I've been collecting tips and tricks that will help a portfolio stand out for the past few months on LinkedIn .Here’s a summary of them: 🔶️30-second test:Your case studies should be scannable and visually appealing enough to help the hiring managers reach a conclusion about your skills in under 30 seconds.  🔶️A two-version portfolioSome hiring managers want short, scannable case studies, while others demand as much detail as possible. You better make two versions of every case study to meet both requirements.🔶️High-fidelity design position:Put clear and high-resolution images of your high-fidelity design at the top of your case studies, not towards the end of it. Make a good first impression.  🔶️Gifs over videos:It's better to upload gifs of your clickable prototype rather than a video. It requires one click less to show your design.  🔶️Productize your portfolio:Treat your portfolio like a product design project. Your target audience is recruiters and hiring managers. Now go and do the whole design process, from research to the end product.  🔶️No boring design framework:Don't repeat yourself by writing your portfolio as a copy-paste of a step-by-step design framework. Instead, try answering these questions to write about your unique experience:+How did you measure success?+What was the most difficult part?+How did you contribute to the project?+How did target users interact with the product?+What would you do differently if you wanted to do the project all over again? Special thanks to Colton Schweitzer; Many of these tips it's what I've learned from him about writing portfolios.What would you add to the list?#ux #design #productdesign #research #recruiters #hiring #uxdesign #uidesign #uxui #userexperience #userinterfacedesign #userexperiencedesign #uxresearch #designers #uxportfolio #portfoliodesign ",https://www.linkedin.com/in/anaisaguero,0.9673
12,Escuela Superior de Música Reina Sofía,"Ya están disponibles en el canal de YouTube de la Escuela las ponencias y encuentros entre expertos y profesionales de la música clásica, que tuvieron lugar en la IV Edición de la Jornada ""Emprender e innovar en la música clásica"", enmarcada en nuestro Programa de #Emprendimiento e #Innovación Social.La #empleabilidad, el #impacto social y las nuevas #audiencias fueron algunos de los temas de los que hablaron Alasdair Tait, violonchelista y director ejecutivo y artístico de Young Classical Artist Trust; Cristina Pato, música, escritora, educadora y productora; Juan Pérez Floristán,  pianista; Sonia Mulero Monroy, directora de la Fundación Banco Sabadell; Honorine Lantelme, directora de Programas de Arte de Edmond de Rothschild Foundations, Kike Labián, Oriol Saña, María Magdalena Sánchez Moreno, directora de Grandes Oyentes, Pedro Barboza de Muse Scene Lab, Andrea V. de Música y Memes y antiguos alumnos y alumnas del Programa de Emprendimiento e Innovación Social. 📺  Vídeos disponibles: https://bit.ly/3YxORIz#FundaciónBancoSabadell #EdmonddeRothschildFoundationsAcademy for Impact through Music (AIM) Fundación Grupo SIFU Acción por la Música#Emprendimiento #InnovacionSocial #LaClásicaInnova",https://www.linkedin.com/in/jorgefelizgarcia,0.5106
13,Eddie Donmez,"One Of The World's Most Successful Venture Capital Investors, Sequoia Capital's, Pitch Deck Template 🏆A super valuable resource for anyone entrepreneurial to see how the best venture investors in the business expect their potential investments to pitch to them.Here's the presentation, make sure you save this post for later on by clicking the 3 dots in the top right and hitting 'save'👇🏼#markets #finance #economics #investing #trading #vc #deals #technology #venturecapital #investments ",https://www.linkedin.com/in/jaimecalcedo,0.9705
14,PowerCo SE,"Ready for the battery future? Perfect, because we need you.Grow with us as a team and develop sustainable batteries for millions of cars. Join PowerCo and create the battery future.",https://www.linkedin.com/company/powerco-se/,0.8591
15,Albert Coca Zapata,"Pol Valés Rodon busca personal, #hiring. ¿Conoces a alguien a quien podría interesarle?",https://www.linkedin.com/in/clarapinillos,0.0
16,Amaris Consulting,"Want to be a part of a team that trusts and empowers you? 💪 Join us! 3,000+ opportunities are waiting for you at Amaris Consulting in 60+ countries.​​Don't wait any longer and apply on our website👉 https://lnkd.in/dm-ScQiQ​​#hiring #careeropportunities ",https://www.linkedin.com/company/amaris/,0.8172
17,Manuel Ruiz Prieto,View my verified achievement from Scrum.org.,https://www.linkedin.com/in/manuel-ruiz-prieto-1493bb37,0.0
18,Figma,Feel like your organization could collaborate and design better and faster? Need some ideas to help justify a change? Watch the webinar to find out how.,/in/ACoAABPOfckBU3aYoq_9WS82-_PAQ4Kvv4nXGrU/,0.8156
19,Ironhack,"#ChatGPT has taken the internet by storm with its absolutely immense range of knowledge and sources. With almost the entire #internet under its belt, is it going to change the way we work in #tech? 🤔 Let's see: https://lnkd.in/eBMw5xbW",https://www.linkedin.com/company/ironhack/,0.0
